OBJECTID,Taxlot,RMV_Land,RMV_Impr,RMV_Total,AV_Total,Property Address,Short Legal Description,Property Size,Property Additional Info,Name,Address,"City, State, Zipcode",City,State,Zipcode
9,1409000000100,4533360,0,4533360,0,,,,,SKIPPED,,,,,
523,140910B001400,46790,0,46790,46790,,,,,SKIPPED,,,,,
1068,1409170000300,941030,0,941030,421343,,,,,SKIPPED,,,,,
1358,1410000000100,6927760,0,6927760,0,,,,,SKIPPED,,,,,
1387,141007C000400,490340,0,490340,35155,,,,,SKIPPED,,,,,
1494,141024D001500,165000,0,165000,90570,,,,,SKIPPED,,,,,
1497,141024D001800,165000,0,165000,81990,,,,,SKIPPED,,,,,
1555,141025A000600,220470,0,220470,172790,,,,,SKIPPED,,,,,
1607,141025B003900,324900,0,324900,161870,,,,,SKIPPED,,,,,
1617,141025C000500,46690,0,46690,41220,,,,,SKIPPED,,,,,
1783,141027C007000,18120,0,18120,0,,,,,SKIPPED,,,,,
1830,141028A002001,52400,0,52400,0,,,,,SKIPPED,,,,,
1994,141028D005600,28680,0,28680,0,,,,,SKIPPED,,,,,
1995,141028D005700,28390,0,28390,0,,,,,SKIPPED,,,,,
2021,1410300000600,186480,0,186480,146460,,,,,SKIPPED,,,,,
2542,1410340000100,257470,0,257470,112880,,,,,SKIPPED,,,,,
2543,1410340000200,545834,0,545834,476630,,,,,SKIPPED,,,,,
2772,1411000000200,1891820,0,1891820,0,,,,,SKIPPED,,,,,
2777,1411000002018,605410,0,605410,28472,,,,,SKIPPED,,,,,
2789,1411000006200,574900,0,574900,0,,,,,SKIPPED,,,,,
2809,1411040001100,185750,0,185750,266,,,,,SKIPPED,,,,,
2869,1411090001100,256130,0,256130,8730,,,,,SKIPPED,,,,,
2871,1411130000200,214440,0,214440,10572,,,,,SKIPPED,,,,,
2880,1411130000700,131250,0,131250,9057,,,,,SKIPPED,,,,,
2900,1411170000500,94060,0,94060,5228,,,,,SKIPPED,,,,,
2906,141117C000200,12560,0,12560,26,,,,,SKIPPED,,,,,
3045,141119C004200,15790,0,15790,5640,,,,,SKIPPED,,,,,
3075,141119C007700,344550,0,344550,125460,,,,,SKIPPED,,,,,
3098,141119D002300,145140,0,145140,3847,,,,,SKIPPED,,,,,
3101,1411200000200,61030,0,61030,869,,,,,SKIPPED,,,,,
3104,141120B000100,56770,0,56770,2235,,,,,SKIPPED,,,,,
3105,141120B000200,78910,0,78910,3576,,,,,SKIPPED,,,,,
3125,141120B002200,189400,0,189400,0,,,,,SKIPPED,,,,,
3158,1411240000300,63390,0,63390,1263,,,,,SKIPPED,,,,,
3159,1411240000400,95060,0,95060,2669,,,,,SKIPPED,,,,,
3254,1411300000100,200590,0,200590,0,,,,,SKIPPED,,,,,
3257,1411300000400,6380,0,6380,4400,,,,,SKIPPED,,,,,
3371,1412000000200,2660330,0,2660330,0,,,,,SKIPPED,,,,,
3374,1412000000600,1222280,0,1222280,0,,,,,SKIPPED,,,,,
3395,1412000001501,282630,0,282630,154980,,,,,SKIPPED,,,,,
3415,1412000003100,361130,0,361130,0,,,,,SKIPPED,,,,,
4182,1413000000200,144290,0,144290,99124,,,,,SKIPPED,,,,,
4184,1413000000400,43593,0,43593,263,,,,,SKIPPED,,,,,
4185,1413000000500,62746,0,62746,43540,,,,,SKIPPED,,,,,
4334,1413090000100,147650,0,147650,10696,,,,,SKIPPED,,,,,
4337,1413090000201,209930,0,209930,135800,,,,,SKIPPED,,,,,
4374,1413100000503,441750,0,441750,9745,,,,,SKIPPED,,,,,
4375,1413100000504,446980,0,446980,7684,,,,,SKIPPED,,,,,
4383,1413100000512,224000,0,224000,224000,,,,,SKIPPED,,,,,
4413,1413110000100,859030,0,859030,0,,,,,SKIPPED,,,,,
4414,1413110000200,13371,0,13371,8552,,,,,SKIPPED,,,,,
5741,141322C002900,420,0,420,200,,,,,SKIPPED,,,,,
6570,1508000000100,5946870,0,5946870,0,,,,,SKIPPED,,,,,
6572,1509000000100,6430620,0,6430620,0,,,,,SKIPPED,,,,,
